age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,annual-income
39,6,77516,13,13,0,9,4,1,2,2174,0,40,1,0
50,2,83311,13,13,5,14,3,1,2,0,0,13,1,0
38,4,215646,9,9,1,3,4,1,2,0,0,40,1,0
53,4,234721,7,7,5,3,3,5,2,0,0,40,1,0
28,4,338409,13,13,5,12,1,5,1,0,0,40,13,0
37,4,284582,15,14,5,14,1,1,1,0,0,40,1,0
49,4,160187,5,5,4,4,4,5,1,0,0,16,19,0
52,2,209642,9,9,5,14,3,1,2,0,0,45,1,1
31,4,45781,15,14,0,12,4,1,1,14084,0,50,1,1
42,4,159449,13,13,5,14,3,1,2,5178,0,40,1,1
37,4,280464,12,10,5,14,3,5,2,0,0,80,1,1
30,6,141297,13,13,5,12,3,2,2,0,0,40,8,1
23,4,122272,13,13,0,9,2,1,1,0,0,30,1,0
32,4,205019,11,12,0,13,4,5,2,0,0,50,1,0
34,4,245487,4,4,5,6,3,3,2,0,0,45,21,0
25,2,176756,9,9,0,5,2,1,2,0,0,35,1,0
32,4,186824,9,9,0,8,6,1,2,0,0,40,1,0
38,4,28887,7,7,5,13,3,1,2,0,0,50,1,0
43,2,292175,15,14,1,14,6,1,1,0,0,45,1,1
40,4,193524,16,16,5,12,3,1,2,0,0,60,1,1
54,4,302146,9,9,2,4,6,5,1,0,0,20,1,0
35,7,76845,5,5,5,5,3,5,2,0,0,40,1,0
43,4,117037,7,7,5,6,3,1,2,0,2042,40,1,0
59,4,109015,9,9,1,1,6,1,1,0,0,40,1,0
56,5,216851,13,13,5,1,3,1,2,0,0,40,1,1
19,4,168294,9,9,0,2,2,1,2,0,0,40,1,0
54,0,180211,12,10,5,0,3,2,2,0,0,60,11,1
39,4,367260,9,9,1,14,4,1,2,0,0,80,1,0
49,4,193366,9,9,5,2,3,1,2,0,0,40,1,0
23,5,190709,11,12,0,10,4,1,2,0,0,52,1,0
20,4,266015,12,10,0,13,2,5,2,0,0,44,1,0
45,4,386940,13,13,1,14,2,1,2,0,1408,40,1,0
30,7,59951,12,10,5,9,2,1,2,0,0,40,1,0
22,6,311512,12,10,5,4,3,5,2,0,0,15,1,0
48,4,242406,7,7,0,8,6,1,2,0,0,40,4,0
21,4,197200,12,10,0,8,2,1,2,0,0,40,1,0
19,4,544091,9,9,6,9,1,1,1,0,0,25,1,0
48,2,265477,11,12,5,12,3,1,2,0,0,40,1,0
31,4,507875,5,5,5,8,3,1,2,0,0,43,1,0
53,2,88506,13,13,5,12,3,1,2,0,0,40,1,0
24,4,172987,13,13,5,1,3,1,2,0,0,50,1,0
49,4,94638,9,9,2,9,6,1,1,0,0,40,1,0
25,4,289980,9,9,0,3,4,1,2,0,0,35,1,0
57,7,337895,13,13,5,12,3,5,2,0,0,40,1,1
53,4,144361,9,9,5,8,3,1,2,0,0,38,1,0
44,4,128354,15,14,1,14,6,1,1,0,0,40,1,0
41,6,101603,10,11,5,2,3,1,2,0,0,40,1,0
29,4,271466,10,11,0,12,4,1,2,0,0,43,1,0
25,4,32275,12,10,5,14,1,4,1,0,0,40,1,0
47,4,51835,14,15,5,12,1,1,1,0,1902,60,15,1
50,7,251585,13,13,1,14,4,1,2,0,0,55,1,1
47,3,109832,9,9,1,14,4,1,2,0,0,60,1,0
