age,workclass,education,marital_status,occupation,race,sex,hours_per_week,income
39,1,5,0,4,0,1,40,0
50,2,5,4,4,0,1,13,0
38,3,2,1,1,0,1,40,0
53,3,1,4,1,1,1,40,0
28,3,5,4,5,1,0,40,0
37,3,7,4,4,0,0,40,0
49,3,1,4,2,1,0,16,0
52,2,2,4,4,0,1,45,1
31,3,7,0,5,0,0,50,1
42,3,5,4,4,0,1,40,1
37,3,4,4,4,1,1,80,1
30,1,5,4,5,1,1,40,1
23,3,5,0,4,0,0,30,0
32,3,3,0,3,1,1,50,0
40,3,3,4,1,1,1,40,1
34,3,1,4,1,1,1,45,0
25,2,2,0,1,0,1,35,0
32,3,2,0,1,0,1,40,0
38,3,1,4,3,0,1,50,0
43,2,7,1,4,0,0,45,1
40,3,8,4,5,0,1,60,1
54,3,2,2,2,1,0,20,0
35,1,1,4,1,1,1,40,0
43,3,1,4,1,0,1,40,0
59,3,2,1,2,0,0,40,0
56,1,5,4,2,0,1,40,1
19,3,2,0,1,0,1,40,0
54,0,4,4,0,1,1,60,1
39,3,2,1,4,0,1,80,0
49,3,2,4,1,0,1,40,0
23,1,3,0,2,0,1,52,0
20,3,4,0,3,1,1,44,0
45,3,5,1,4,0,1,40,0
30,1,4,4,4,0,1,40,0
22,1,4,4,2,1,1,15,0
48,3,1,0,1,0,1,40,0
21,3,4,0,1,0,1,40,0
19,3,2,4,4,0,0,25,0
31,3,4,4,3,0,1,38,1
48,2,3,4,5,0,1,40,0
31,3,1,4,1,0,1,43,0
53,2,5,4,5,0,1,40,0
24,3,5,4,2,0,1,50,0
49,3,2,2,4,0,0,40,0
25,3,2,0,1,0,1,35,0
57,1,5,4,5,1,1,40,1
53,3,2,4,1,0,1,38,0
44,3,7,1,4,0,0,40,0
41,1,3,4,1,0,1,40,0
29,3,3,0,5,0,1,43,0
25,3,4,4,4,1,0,40,0
18,3,2,0,2,0,0,30,0
47,3,6,4,5,0,0,60,1
50,1,5,1,4,0,1,55,1
47,2,2,1,4,0,1,60,0
43,3,4,4,2,0,1,40,1
46,3,1,4,1,0,1,40,0
35,3,3,4,2,0,1,40,0
41,3,2,4,4,0,1,48,0
30,3,2,4,1,0,1,40,0
30,3,5,4,3,0,1,40,0
32,0,1,4,0,0,1,40,0
48,3,2,4,1,0,1,40,0
42,3,8,4,5,0,1,45,1
29,3,4,1,2,0,1,58,0
36,3,2,4,1,0,1,40,0
28,3,4,1,4,0,0,40,0
53,3,2,4,4,0,0,40,1
49,2,4,4,4,0,1,50,1
25,0,4,0,0,0,1,40,0
19,3,4,0,5,0,1,32,0
31,3,5,2,3,1,0,40,0
29,2,5,4,3,0,1,70,1
23,3,4,0,1,0,1,40,0
79,3,4,4,5,0,1,20,0
27,3,2,0,2,0,1,40,0
40,3,3,4,4,0,1,40,0
67,0,1,4,0,0,1,2,0
18,3,1,0,2,0,0,22,0
31,1,1,4,1,0,1,40,0
18,3,2,0,3,0,1,30,0
52,3,5,4,2,0,1,40,0
46,3,2,4,2,0,0,40,0
59,3,2,4,3,0,1,48,0
44,3,2,1,1,0,0,40,1
53,3,2,1,3,0,0,35,0
49,1,2,4,2,0,1,40,1
33,3,7,4,5,0,1,50,0
30,3,1,0,3,0,1,40,0
43,1,8,0,5,0,0,50,1
57,3,3,4,5,0,1,40,0
37,3,4,1,1,0,0,40,0
28,3,4,1,1,1,0,25,0
30,3,2,4,3,1,0,35,0
34,1,5,4,2,0,1,40,1
29,1,4,0,1,0,1,50,0
48,2,8,4,5,0,1,60,1
37,3,4,4,3,0,1,48,1
48,3,3,1,4,0,0,40,0
32,1,2,0,2,1,1,40,0
76,3,7,4,4,0,1,40,1
44,3,5,4,4,0,1,60,1
47,2,7,0,5,0,0,50,0
20,3,4,0,2,0,0,40,0
29,3,2,0,1,0,1,40,0
32,2,2,4,1,0,1,40,1
17,0,1,0,0,0,0,32,0
30,3,1,0,1,0,1,40,0
31,1,2,0,4,0,0,40,0
42,3,2,4,1,0,1,40,0
24,3,5,0,3,0,1,40,0
38,3,6,4,5,0,1,40,1
56,2,2,4,2,0,1,50,1
28,3,4,4,3,0,0,25,0
36,3,2,0,1,0,0,40,0
53,3,1,4,1,0,1,50,0
56,2,4,4,3,0,1,50,0
49,1,3,4,1,1,1,40,1
55,3,4,4,3,0,1,56,0
22,3,2,0,1,0,1,41,0
21,3,4,0,2,0,0,40,0
40,3,5,4,4,0,1,60,0
30,3,5,0,4,1,1,40,0
29,1,5,4,5,0,1,50,1
19,3,4,0,2,1,1,35,0
47,3,5,4,4,0,0,40,1
20,3,4,0,4,0,0,28,0
31,3,3,4,4,0,1,40,1
35,0,2,4,0,0,1,40,0
39,3,4,1,1,0,1,40,0
28,3,3,0,3,0,0,60,0
24,3,2,0,2,0,0,40,0
38,2,2,4,1,0,1,35,0
37,3,5,4,3,0,1,50,0
46,3,3,1,2,1,0,36,0
38,1,7,4,5,0,1,40,1
43,2,2,4,1,0,1,60,0
27,3,3,4,4,0,0,35,0
20,3,4,0,3,0,1,20,0
49,3,4,4,1,1,1,40,1
61,2,2,4,1,0,1,40,0
27,3,4,0,3,0,0,40,0
19,3,4,0,2,0,1,30,0
45,3,3,0,5,0,0,40,1
70,3,4,0,2,0,1,40,0
31,3,2,0,1,1,0,30,0
22,3,4,4,2,0,1,24,0
36,3,2,3,2,0,0,24,0
64,3,1,4,1,0,1,40,0
43,0,4,1,0,0,0,40,0
47,1,4,1,4,0,0,38,0
34,3,2,0,4,0,0,40,0
33,3,5,0,4,1,0,40,0
21,3,2,0,1,0,1,35,0
52,0,2,1,0,0,1,45,1
48,3,2,4,1,0,1,46,0
23,3,5,0,1,0,1,40,0
71,2,4,2,3,1,1,2,0
29,3,2,1,1,0,1,60,0
42,3,5,2,2,1,1,50,0
68,0,1,1,0,0,0,20,0
25,3,2,0,2,0,0,40,0
44,2,7,1,4,1,0,40,0
28,3,2,0,4,1,0,40,0
45,2,7,4,3,0,1,40,1
36,3,4,1,2,0,0,40,0
39,1,3,0,4,0,1,42,0
46,1,7,3,2,0,1,40,0
18,3,1,0,1,0,1,16,0
66,1,3,3,5,0,0,20,0
27,3,2,0,2,0,1,40,0
28,1,2,4,2,0,1,40,0
51,3,4,4,3,0,1,40,1
27,3,5,0,1,0,1,50,0
28,1,5,4,5,0,1,40,1
27,3,2,4,3,0,0,25,0
21,3,2,0,1,1,1,40,0
34,3,2,0,1,1,1,40,0
18,3,2,0,2,0,1,12,0
33,3,5,4,5,0,1,65,0
44,1,4,4,4,1,1,38,1
43,3,4,1,4,0,0,40,0
30,3,4,0,1,1,1,45,0
40,3,1,4,1,0,1,40,1
37,1,4,4,4,0,1,42,1
34,3,2,4,4,1,1,40,0
41,2,5,1,4,0,0,40,0
53,0,5,1,0,0,0,50,0
31,3,7,4,5,0,0,50,0
58,1,8,4,5,0,1,1,1
38,3,4,1,1,1,0,28,0
24,3,4,4,1,0,1,40,0
41,1,5,4,1,1,1,40,0
47,3,4,4,2,0,1,45,0
41,1,5,4,2,0,1,24,0
23,3,1,4,1,0,1,40,0
36,3,4,1,1,0,1,40,0
40,1,7,0,4,0,0,55,1
35,3,7,4,5,0,1,40,1
24,2,2,0,3,0,1,40,0
26,3,7,0,5,0,0,40,0
19,0,2,0,0,0,1,40,0
51,3,5,4,4,0,1,50,1
42,1,4,0,5,0,0,40,0
37,1,2,1,4,0,0,35,0
18,3,1,0,3,0,0,40,0
36,3,5,4,2,1,1,36,1
35,3,2,1,1,0,1,60,0
58,2,2,4,3,0,0,35,1
17,3,1,0,3,0,0,12,0
44,1,2,4,1,1,1,40,0
37,3,2,4,1,0,1,40,1
35,3,4,0,3,1,0,40,0
60,3,2,4,1,1,1,40,0
54,2,1,4,1,0,1,40,1
37,3,5,0,4,1,1,60,1
50,3,3,1,3,0,0,40,0
38,3,5,4,3,0,1,50,0
45,3,5,4,5,0,1,55,0
25,3,1,0,1,0,1,40,0
31,3,4,4,1,0,1,40,0
64,0,1,1,0,0,1,40,0
90,3,2,0,2,1,1,40,0
54,3,2,4,4,1,1,20,0
53,1,1,0,1,0,0,35,0
18,3,2,0,3,0,0,40,0
60,0,1,1,0,1,0,10,0
66,2,2,4,1,0,1,50,0
75,3,3,3,4,0,0,20,0
65,3,2,1,4,0,0,40,0
35,3,1,2,1,1,1,40,0
41,3,2,1,3,1,0,38,0
25,3,4,0,4,0,1,42,0
33,3,4,1,1,1,0,40,0
28,3,6,0,5,0,1,55,1
59,1,2,4,2,0,1,40,0
40,1,4,0,4,0,0,38,0
41,3,5,4,4,0,1,50,1
38,1,7,4,4,0,1,70,1
23,3,2,0,1,0,1,40,0
40,3,5,4,5,0,1,40,1
41,2,2,4,2,0,0,20,0
24,1,3,4,2,0,1,50,0
20,0,4,0,0,0,1,20,0
38,3,4,1,1,0,1,40,0
56,3,2,4,4,0,1,35,0
58,3,2,4,4,0,1,45,1
32,3,2,0,2,0,0,34,0
40,3,3,4,2,0,1,60,1
45,3,2,4,4,0,1,40,0
41,3,6,4,5,0,0,40,1
42,3,5,4,4,1,0,40,0
59,1,1,3,2,1,0,30,0
19,1,4,0,4,0,1,40,0
58,3,4,0,1,0,1,20,0
42,2,2,4,1,1,1,40,1
20,3,2,0,2,0,0,40,0
32,3,2,2,2,0,0,30,0
45,3,3,3,4,0,0,45,0
50,3,1,1,1,0,1,40,0
36,3,5,1,5,0,0,40,0
45,3,2,4,3,0,1,60,0
17,3,1,0,2,0,1,12,0
59,3,4,4,3,0,1,40,0
26,3,1,4,1,0,1,40,0
37,2,4,4,4,1,1,75,1
19,0,4,0,0,0,1,24,0
64,3,2,4,4,0,1,40,1
33,3,5,0,5,0,0,45,0
33,3,2,4,1,0,0,40,1
61,3,2,4,4,0,1,40,1
17,3,1,0,2,0,1,24,0
50,2,7,4,1,0,1,98,0
27,1,7,0,5,0,1,35,0
30,3,2,1,5,0,0,40,0
43,3,2,4,1,1,1,40,0
44,3,4,4,1,0,1,40,1
35,3,4,0,4,0,0,40,0
25,3,4,0,2,0,0,40,0
24,3,4,4,1,0,0,48,1
